season,dekad_idx,pivot_id,aeti_mm,npp_gC_m2
2021/22,7,142,22.57916381,28.78404387
2021/22,7,143,23.78352621,32.1128727
2021/22,7,144,8.507246377,10.76974465
2021/22,7,145,10.56662088,13.67924451
2021/22,7,146,23.37880633,29.57019488
2021/22,7,147,8.296557811,10.98725508
2021/22,7,148,9.399201597,12.25789754
2021/22,7,149,25.06284153,35.34225865
2021/22,7,150,7.447704082,9.234298469
2021/22,7,151,25.49818182,36.79962424
2021/22,7,160,25.61789601,36.85004837
2021/22,8,35,14.21779359,11.47885231
2021/22,8,38,11.22710952,14.93704219
2021/22,8,43,5.06943499,6.679560926
2021/22,8,46,7.705972851,10.54076742
2021/22,8,48,6.371089385,8.596461592
2021/22,8,49,7.448848238,9.450661924
2021/22,8,56,5.823176551,7.569754601
2021/22,8,61,9.731901408,12.18858873
2021/22,8,62,6.258149171,7.824289365
2021/22,8,77,7.602163462,10.62131971
2021/22,8,78,18.55018916,25.17560151
2021/22,8,79,9.388187556,13.68640036
2021/22,8,80,3.738597734,5.198738669
2021/22,8,89,21.77984605,27.92511267
2021/22,8,90,24.75615385,32.42972308
2021/22,8,91,4.174248366,5.777473203
2021/22,8,92,3.888302907,5.332419202
2021/22,8,97,21.31136364,27.27632576
2021/22,8,98,3.993543956,4.395482143
2021/22,8,99,25.56676406,33.20598685
2021/22,8,119,17.20685631,22.78647192
2021/22,8,120,8.09004298,11.29335172
2021/22,8,121,23.70993831,32.29636943
2021/22,8,128,23.53920863,31.09610576
2021/22,8,129,27.30394449,37.57096202
2021/22,8,130,6.601628423,9.123828275
2021/22,8,131,26.38852459,34.08668033
2021/22,8,132,24.51969697,31.27593939
2021/22,8,133,25.56905295,33.55639821
2021/22,8,134,18.84094256,21.49253387
2021/22,8,137,8.828274174,12.04622521
2021/22,8,138,5.143546196,6.765680027
2021/22,8,139,23.01486301,30.99680205
2021/22,8,141,23.91825613,31.04405313
2021/22,8,142,23.86901988,30.86030775
2021/22,8,143,25.23635126,34.89432131
2021/22,8,144,8.810628019,11.83405659
2021/22,8,145,10.54972527,14.63512225
2021/22,8,146,24.09683313,31.9762095
2021/22,8,147,9.812621359,13.52586408
2021/22,8,148,9.758017299,13.36447305
2021/22,8,149,27.49398907,39.14189709
2021/22,8,150,6.785204082,9.06217602
2021/22,8,151,27.06133333,40.0362
2021/22,8,160,28.22224909,40.92061185
2021/22,9,35,15.92793594,13.91751779
2021/22,9,38,13.85368043,19.26745063
2021/22,9,43,8.839346494,11.96631722
2021/22,9,46,12.24886878,16.85988235
2021/22,9,48,10.6627095,14.67549581
2021/22,9,49,11.46544715,15.47547425
2021/22,9,56,9.341513292,12.91398773
2021/22,9,61,12.11338028,15.20990845
2021/22,9,62,9.401243094,12.88513122
2021/22,9,77,11.12379808,14.71308894
2021/22,9,78,16.9924338,22.64530895
2021/22,9,79,7.03336339,9.125653742
2021/22,9,80,6.934844193,8.962974504
2021/22,9,89,24.49825052,33.04675997
2021/22,9,90,26.96153846,37.22575524
2021/22,9,91,7.039215686,8.948339869
2021/22,9,92,5.626098715,6.940689655
2021/22,9,97,22.87052342,30.61159091
2021/22,9,98,5.269230769,6.539278846
2021/22,9,99,28.18918919,38.65365961
2021/22,9,119,19.25091174,26.20085339
2021/22,9,120,10.56661891,14.26385387
2021/22,9,121,26.16312543,36.21783413
2021/22,9,128,25.54964029,35.04443885
2021/22,9,129,29.73265157,43.15727538
2021/22,9,130,7.843079201,9.963723168
2021/22,9,131,28.05961252,38.06578241
2021/22,9,132,26.4738292,35.54911846
2021/22,9,133,27.6689038,38.00629381
2021/22,9,134,21.37923417,24.63261414
2021/22,9,137,9.269277846,12.22436965
2021/22,9,138,5.591032609,6.452112772
2021/22,9,139,25.87465753,36.07185616
2021/22,9,141,26.22615804,35.99112398
2021/22,9,142,26.09047293,35.34930089
2021/22,9,143,27.3519401,39.03672566
2021/22,9,144,11.07453416,15.36647343
2021/22,9,145,14.01098901,19.48763049
2021/22,9,146,27.00243605,36.75460414
2021/22,9,147,13.22859665,18.84736981
2021/22,9,148,12.99001996,18.21482369
2021/22,9,149,29.58925319,44.63234973
2021/22,9,150,9.198979592,12.51260204
2021/22,9,151,29.47636364,44.58923636
2021/22,9,160,30.66868198,46.71819831
2021/22,10,35,18.30427046,17.84102313
2021/22,10,38,16.19748654,25.99420108
2021/22,10,43,12.71000681,20.35991831
2021/22,10,46,16.33665158,25.84497738
2021/22,10,48,14.51885475,23.35252793
2021/22,10,49,15.41802168,24.0647019
2021/22,10,56,13.05453306,20.81141786
2021/22,10,61,13.74366197,20.34424648
2021/22,10,62,13.51174033,20.95246547
2021/22,10,77,14.25600962,21.5346875
2021/22,10,78,13.38209332,21.17572509
2021/22,10,79,5.166816952,7.322046889
2021/22,10,80,10.20750708,16.26419263
2021/22,10,89,26.3729881,40.22463261
2021/22,10,90,28.25874126,43.9531049
2021/22,10,91,9.737254902,15.16211765
2021/22,10,92,7.554428668,11.52297498
2021/22,10,97,23.63980716,36.00831956
2021/22,10,98,7.986263736,12.51043269
2021/22,10,99,30.34404675,46.52459459
2021/22,10,119,20.09044493,30.86301969
2021/22,10,120,12.93338109,20.80812321
2021/22,10,121,27.01576422,41.74479781
2021/22,10,128,26.2676259,40.21882014
2021/22,10,129,31.06355004,49.95739226
2021/22,10,130,10.16580311,15.4350037
2021/22,10,131,28.78464978,43.33097615
2021/22,10,132,27.60812672,41.30166667
2021/22,10,133,28.64578673,43.52733035
2021/22,10,134,23.1826215,29.5145729
2021/22,10,137,10.43574051,16.21903305
2021/22,10,138,6.822690217,9.033783967
2021/22,10,139,28.46643836,44.38504795
2021/22,10,141,28.22207084,43.12904632
2021/22,10,142,28.50993831,43.13128855
2021/22,10,143,28.48127978,45.07252553
2021/22,10,144,14.10697032,22.72012422
2021/22,10,145,17.37362637,27.71877747
2021/22,10,146,29.2180268,44.39611449
2021/22,10,147,16.22947926,26.33117387
2021/22,10,148,16.54557552,26.529002
2021/22,10,149,31.05191257,51.68710383
2021/22,10,150,12.25,19.78887755
2021/22,10,151,30.76121212,51.94162424
2021/22,10,160,32.34824667,54.32397823
2021/22,11,35,18.73736655,18.02874021
2021/22,11,38,18.13859964,26.83245242
2021/22,11,43,16.53206263,24.02635807
2021/22,11,46,19.51710407,28.4833448
2021/22,11,48,17.98156425,26.46907821
2021/22,11,49,18.85745257,27.04706775
2021/22,11,56,16.35228357,24.01724881
2021/22,11,61,15.13915493,20.69612394
2021/22,11,62,17.32872928,24.75772928
2021/22,11,77,15.9,22.96216346
2021/22,11,78,9.957124842,14.73671627
2021/22,11,79,5.080613165,6.379065825
2021/22,11,80,12.4878187,18.50445892
2021/22,11,89,25.52442267,38.33959412
2021/22,11,90,26.49566434,40.71352168
2021/22,11,91,12.45594771,18.30591373
2021/22,11,92,10.06842461,14.14136038
2021/22,11,97,22.69366391,33.64701928
2021/22,11,98,11.90989011,17.28606593
2021/22,11,99,28.59138057,43.76257122
2021/22,11,119,18.90182349,28.35409482
2021/22,11,120,15.93123209,23.48800573
2021/22,11,121,25.04784099,38.1454037
2021/22,11,128,24.25956835,36.66635396
2021/22,11,129,28.08648649,45.55208181
2021/22,11,130,14.11754256,20.65202073
2021/22,11,131,26.29985097,39.53103428
2021/22,11,132,25.89090909,38.12067769
2021/22,11,133,26.36897837,39.79911111
2021/22,11,134,21.44212077,27.42506627
2021/22,11,137,12.89106487,18.87270502
2021/22,11,138,8.849456522,11.08310326
2021/22,11,139,27.97917808,43.61459178
2021/22,11,141,27.12588556,41.58061035
2021/22,11,142,27.6989719,42.66561206
2021/22,11,143,26.27528931,41.74218108
2021/22,11,144,17.5094548,26.36172809
2021/22,11,145,20.45,30.26840659
2021/22,11,146,27.69403167,42.59013886
2021/22,11,147,18.62947926,28.0219594
2021/22,11,148,19.94677312,29.63503925
2021/22,11,149,28.57777778,48.17277231
2021/22,11,150,15.53469388,23.38420408
2021/22,11,151,28.59345455,47.52525576
2021/22,11,160,29.74703748,49.93239178
