pivot_id,area_ha,season,aeti_mm,npp_gC_m2,pcp_mm,is_active,biomass_dry_kg_ha,water_consumed_m3_ha,cwp,niwr_mm,demand_vol_m3,abstraction_vol_m3
137,36.94882279,2021/22,424.2155447,445.7140747,0.3,1,9894.852458,4242.155447,2.332505864,423.9755447,156653.9727,184298.7914
138,64.52079367,2021/22,294.8586957,283.0562065,0.4,1,6283.847785,2948.586957,2.131138704,294.5386957,190038.7041,223574.946
139,63.99256844,2021/22,579.1773973,672.3880548,0.4,1,14927.01482,5791.773973,2.577278548,578.8573973,370425.7161,435794.9601
140,64.49361505,2021/22,0,0,0.4,0,0,0,,0,0,0
141,64.38440821,2021/22,573.7821526,656.0021253,0.4,1,14563.24718,5737.821526,2.538114355,573.4621526,369220.2132,434376.7215
142,63.787403,2021/22,609.4998629,701.3014229,0.397806717,1,15568.89159,6094.998629,2.554371631,609.1816175,388581.1334,457154.2746
143,64.35940624,2021/22,577.4708645,720.9809653,0.294622192,1,16005.77743,5774.708645,2.771703026,577.2351668,371505.126,437064.8541
144,63.68650722,2021/22,421.1412698,451.5365445,0.3,1,10024.11129,4211.412698,2.380225356,420.9012698,268057.3176,315361.5501
145,63.82309015,2021/22,470.5968407,512.2642891,0.3,1,11372.26722,4705.968407,2.416562594,470.3568407,300196.2704,353172.0828
146,37.01118564,2021/22,570.7764921,656.1421413,0.3,1,14566.35554,5707.764921,2.552024433,570.5364921,211162.3202,248426.2591
147,50.03259431,2021/22,424.0240071,454.2505084,0.3,1,10084.36129,4240.240071,2.378252438,423.7840071,212030.133,249447.2153
148,65.76291244,2021/22,490.0091816,518.8487578,0.3,1,11518.44242,4900.091816,2.350658489,489.7691816,322086.4781,378925.2684
149,48.71151107,2021/22,649.8193989,818.1823752,0.3,1,18163.64873,6498.193989,2.795184133,649.5793989,316419.9408,372258.7539
150,35.46312705,2021/22,436.1594388,457.2592194,0.3,1,10151.15467,4361.594388,2.32739539,435.9194388,154590.6644,181871.3699
151,37.18774901,2021/22,620.0409697,807.7000533,0.3,1,17930.94118,6200.409697,2.891896191,619.8009697,230490.029,271164.74
152,37.48554554,2021/22,0,0,0.4,0,0,0,,0,0,0
153,63.47522854,2021/22,0,0,0.4,0,0,0,,0,0,0
154,64.72715306,2021/22,0,0,0.4,0,0,0,,0,0,0
155,63.03274447,2021/22,0,0,0.4,0,0,0,,0,0,0
156,38.07667514,2021/22,0,0,0.4,0,0,0,,0,0,0
157,50.01757579,2021/22,0,0,0.4,0,0,0,,0,0,0
158,25.16577689,2021/22,0,0,0.4,0,0,0,,0,0,0
