pivot_id,area_ha,n_active_seasons,operation_class,avg_wpb_kg_m3,trend,p_value,slope,lat,lon
110,64.4136462826597,2,Expansion (New),1.9068668846202843,Insufficient Data,,,27.873069410625632,30.192030922792693
111,35.888283653518066,2,Intermittent / Rotation,1.6485935585463998,Insufficient Data,,,27.876756176466166,30.20062837138963
112,50.73460600806812,2,Intermittent / Rotation,1.7020936332480836,Insufficient Data,,,27.861191978959436,30.2026494904425
113,64.88182917352394,1,Expansion (New),1.8937260306875205,Insufficient Data,,,27.86134824703535,30.217771912909896
114,63.327382436573934,2,Intermittent / Rotation,1.6645139311631165,Insufficient Data,,,27.864926066164436,30.227823967984193
115,64.93592878402181,1,Expansion (New),1.5003579612855444,Insufficient Data,,,27.859342426491995,30.234585161113863
116,66.85106456282816,2,Expansion (New),1.718839380073805,Insufficient Data,,,27.853200037084875,30.22812837661995
117,38.06870885478156,3,Stable Active,1.7485858843709128,no trend,0.2962698714842864,0.1904132672780927,27.870383333945036,30.178997679997913
118,36.932643093788435,2,Intermittent / Rotation,2.7648633214446945,Insufficient Data,,,27.8647242533149,30.154095207805902
119,60.255639599489015,2,Abandonment,2.6857862768863345,Insufficient Data,,,27.864914547067336,30.162365227726667
120,61.14569502286605,3,Stable Active,2.6420579889817386,no trend,1.0,0.24177742575370442,27.855457410102755,30.14849383541987
121,63.87730663627263,3,Stable Active,2.727343105791002,no trend,1.0,-0.09984585153718717,27.856996834788376,30.160339782877173
122,47.41605964609815,3,Stable Active,1.7531452714023577,no trend,0.2962698714842864,0.1904596367711351,27.852950322690557,30.202466949874587
123,36.734679881462455,2,Intermittent / Rotation,1.6545022320327125,Insufficient Data,,,27.844374588475176,30.200282197084494
124,49.374043005794,3,Stable Active,1.7862707659225663,no trend,1.0,0.03839724756501228,27.84201844980962,30.20739687158414
125,65.04043535935836,2,Intermittent / Rotation,1.7993034203261835,Insufficient Data,,,27.834589054242414,30.18761567938292
126,64.0745271626807,2,Intermittent / Rotation,1.6899518187092082,Insufficient Data,,,27.837066825317653,30.19647393186065
127,60.967594143945966,1,Intermittent / Rotation,2.7296143707213343,Insufficient Data,,,27.84986489541476,30.155285446647007
128,60.960486452306434,2,Abandonment,2.7356745314234,Insufficient Data,,,27.844269445009004,30.161890782297675
129,59.94254528208823,3,Stable Active,2.8212542310567374,no trend,1.0,0.01955624039410342,27.838627643789483,30.16890969462328
130,59.48194454175527,2,Abandonment,2.3895701385242156,Insufficient Data,,,27.8412447221104,30.14008166978433
131,59.15535173312511,2,Abandonment,2.6863512581744002,Insufficient Data,,,27.84176343910158,30.153199925491368
132,63.5950543608323,2,Abandonment,2.7111016100539445,Insufficient Data,,,27.84734919643359,30.146393593252625
133,58.98463710973017,2,Abandonment,2.6183124829566733,Insufficient Data,,,27.85287816977784,30.139544320155576
134,59.56743500069719,2,Abandonment,2.2401689192019534,Insufficient Data,,,27.859449967593665,30.169249850898453
135,60.71689993040235,1,Intermittent / Rotation,1.7693233131119215,Insufficient Data,,,27.853806504105833,30.175866757729846
136,63.96653594632824,1,Expansion (New),2.580191776054611,Insufficient Data,,,27.845806790353087,30.174094007397574
137,36.94882279471446,3,Stable Active,2.4920098331136593,no trend,0.2962698714842864,0.15585616544794845,27.831241210285203,30.153650939588516
138,64.52079366561748,2,Abandonment,2.2391790562313774,Insufficient Data,,,27.825638633546472,30.133396475824416
139,63.99256843948207,3,Stable Active,2.582950782636877,no trend,1.0,0.025395156618747583,27.81740589135128,30.132184615153967
140,64.49361505146338,1,Expansion (New),2.95050947206065,Insufficient Data,,,27.819156259680994,30.14130395031028
141,64.38440820658427,3,Stable Active,2.5536848145817306,no trend,0.2962698714842864,0.018301921795327525,27.811139333140947,30.139312694077795
142,63.78740300426575,3,Stable Active,2.7269960207610318,no trend,1.0,0.0670757423144408,27.80535902655344,30.14613226033619
143,64.35940624423769,3,Stable Active,2.8051672336946276,no trend,1.0,-0.04809135882066595,27.799350373417777,30.15251128891886
144,63.68650721624526,2,Abandonment,2.5255097438690806,Insufficient Data,,,27.806996929653508,30.156115821421427
145,63.823090145128724,4,Stable Active,2.629253716738224,no trend,1.0,-3.470236228004381e-06,27.801474021885006,30.162979865715666
146,37.01118563670926,2,Abandonment,2.7512299721930544,Insufficient Data,,,27.802786839692402,30.17118552554049
147,50.032594312258624,2,Abandonment,2.7236904955432344,Insufficient Data,,,27.80259519916971,30.179978357636944
148,65.76291244456101,3,Stable Active,2.5672878681318365,no trend,1.0,0.11949518812068427,27.800239105446963,30.188682735046935
149,48.711511068408136,3,Stable Active,2.776560700474114,no trend,1.0,-0.11035141363307566,27.796730049113616,30.17495741820853
150,35.463127051427406,3,Stable Active,2.663234602456526,no trend,1.0,0.17675115615046977,27.795164878492745,30.167502687147334
151,37.187749013124204,3,Stable Active,2.8265845674551806,no trend,0.2962698714842864,-0.05292437855620524,27.79484168471161,30.15915960592086
152,37.485545540608044,2,Intermittent / Rotation,1.7101595571130874,Insufficient Data,,,27.84252498919171,30.21541449776854
153,63.47522854284107,2,Intermittent / Rotation,1.7483637231822355,Insufficient Data,,,27.845198337860896,30.226259895892277
154,64.72715305970422,3,Stable Active,1.6406257206340582,no trend,0.2962698714842864,0.0782602955593188,27.839607601294258,30.233196766637963
155,63.032744472735644,2,Intermittent / Rotation,1.611097135901216,Insufficient Data,,,27.83748949320417,30.221715532733427
156,38.07667513689335,1,Expansion (New),1.6322391487580814,Insufficient Data,,,27.828860427386797,30.246096309859603
157,50.017575789270914,2,Expansion (New),1.7499318373812018,Insufficient Data,,,27.8220600474652,30.22833825360824
158,25.16577689119166,2,Expansion (New),1.6468039896241824,Insufficient Data,,,27.82309039143059,30.235201413086518
159,50.2439139335152,2,Expansion (New),1.657863070096023,Insufficient Data,,,27.81666424343599,30.23507110020724
160,37.16852129076235,4,Stable Active,2.828058838431141,no trend,0.7340951823194757,-0.02334905077149526,27.795451503129435,30.182554058832682
161,46.13155391455639,1,Intermittent / Rotation,1.7600391652717418,Insufficient Data,,,27.8277537066189,30.199383846801833
162,47.73252740385312,1,Intermittent / Rotation,2.1261494100291336,Insufficient Data,,,27.828232938079818,30.2078901833328
163,37.36482063409771,1,Intermittent / Rotation,1.9792851547021773,Insufficient Data,,,27.820665522701585,30.200261494618612
164,45.041596869329034,1,Intermittent / Rotation,1.726622217035423,Insufficient Data,,,27.82100469010612,30.208152604806102
165,48.79513950075355,1,Intermittent / Rotation,1.723755419790908,Insufficient Data,,,27.814089424690742,30.205305034104885
