pivot_id,2021/22,2022/23,2023/24,2024/25
142,2.5543716308037143,2.9380933160467855,,2.688523115432596
143,2.771703026471503,2.9682783657822087,,2.675520308830171
144,2.3802253557284705,,2.6707941320096906,
145,2.416562593824478,2.7833125978357045,2.7246699453107546,2.5924697299819597
146,2.5520244331556796,2.950435511230429,,
147,2.3782524381207075,3.0691285529657617,,
148,2.3506584886999558,2.7615562507542295,,2.5896488649413243
149,2.7951841327918356,,2.9600166631048235,2.5744813055256843
150,2.327395389838836,2.981410715390966,,2.6808977021397755
151,2.8918961907893475,,2.801810077899258,2.786047433676937
152,,1.649677560242555,1.7706415539836198,
153,,1.5837293519454316,1.9129980944190395,
154,,1.538795312234461,1.687765946314615,1.6953159033530987
155,,1.527040095814069,1.6951541759883628,
156,,,1.6322391487580814,
157,,,1.762372735947035,1.7374909388153688
158,,,1.7101434018046344,1.5834645774437301
159,,,1.7379134238339853,1.577812716358061
160,2.817272757954662,2.776805586505845,2.981202276030272,2.7369547332337834
161,,1.7600391652717418,,
162,,2.1261494100291336,,
163,,1.9792851547021773,,
164,,1.726622217035423,,
165,,1.723755419790908,,
